ID, Long, Lat
1,13.72047,51.09358
2,13.92143,51.11635
3,13.64204,50.96289
4,14.00841,50.93559
5,13.86552,50.96875
6,13.85641,50.86276
7,14.21471,51.0251
8,14.19916,51.23385
9,13.95745,51.33085
10,14.24608,51.43865
