ID;OE;NAME;PLZ;ORT;STRASSE;HA_ID;HA_KOO_W_XDez;HA_KOO_W_YDez;Logo
72;236;Filiale Heidenau West;1809;Heidenau;Böhmischer Weg 6;146281600002500006;13.86552;50.96875;OSD
73;235;Filiale Heidenau real.-;1809;Heidenau;Hauptstraße 3;146281600008900003;13.85601;50.97763;OSD
74;234;Filiale Heidenau Nord;1809;Heidenau;Siegfried-Rädel-Straße 6;146281600020100006;13.86025;50.98227;OSD
75;222;Filiale Bad Schandau;1814;Bad Schandau;Dresdner Straße 1a;146280300001400001A;14.15016;50.91840;OSD
76;221;Filiale Bad Gottleuba;1816;Bad Gottleuba;Hauptstraße 11;146280200006400011;13.94208;50.85021;OSD
77;224;Filiale Berggießhübel;1819;Berggießhübel;Sebastian-Kneipp-Platz 4;146280200010700004;13.94873;50.87431;OSD
78;243;Filiale Königstein;1824;Königstein;Bielatalstraße 4;146282100001000004;14.07330;50.91762;OSD
79;245;Filiale Liebstadt;1825;Liebstadt;Bachstraße 4;146282300000400004;13.85641;50.86276;OSD
80;256;Filiale Stolpen;1833;Stolpen;Alte Schulstraße 2;146283800000400002;14.08235;51.04889;OSD
81;226;Filiale Dürrröhrsdorf;1833;Dürrröhrsdorf-Dittersbach;Hauptstraße 96;146281000004800096;13.99325;51.03552;OSD
82;247;Filiale Neustadt;1844;Neustadt i. Sa.;Bahnhofstraße 1 / Markt 22;146282600004200001;14.21471;51.02510;OSD
83;246;Filiale Lohmen;1847;Lohmen;Basteistraße 19a;146282400002100019A;14.00302;50.98843;OSD
84;238;Filiale Hohnstein;1848;Hohnstein;Markt 6;146281900005200006;14.11003;50.97996;OSD
85;255;Filiale Sebnitz;1855;Sebnitz;Schandauer Straße 4;146283600016400004;14.27232;50.97293;OSD
86;284;Filiale Pulsnitz;1896;Pulsnitz;Am Markt 13;146254500000700013;14.01317;51.18162;OSD
87;272;Filiale Großröhrsdorf;1900;Großröhrsdorf;Mühlstraße 1;146252000008800001;14.02322;51.14590;OSD
88;278;Filiale Kamenz Markt;1917;Kamenz;Markt 4;146252500021100004;14.09539;51.26955;OSD
89;277;Filiale Kamenz Arkadenhof;1917;Kamenz;Oststraße 14;146252500023000014;14.09686;51.27525;OSD
90;283;Filiale Panschwitz-Kuckau;1920;Panschwitz-Kuckau;Cisinskistraße 31;146254400001700031;14.19916;51.23385;OSD
91;279;Filiale Königsbrück;1936;Königsbrück;Markt 13;146252700007300013;13.90329;51.26354;OSD
92;287;Filiale Schwepnitz;1936;Schwepnitz;Schulstraße 2;146255500005700002;13.95745;51.33085;OSD
93;275;Filiale Hoyerswerda Lausitzhalle;2977;Hoyerswerda;Lausitzer Platz 4;146252400028400004;14.26209;51.43844;OSD
94;276;Filiale Hoyerswerda Lipezker Platz;2977;Hoyerswerda;Lipezker Platz 6;146252400029400006;14.27178;51.44358;OSD
95;274;Filiale Hoyerswerda Kühnichter Heide;2977;Hoyerswerda;Liselotte-Herrmann-Straße 90;146252400030300090;14.26872;51.44824;OSD
96;273;Filiale Hoyerswerda Altstadt;2977;Hoyerswerda;Schlossplatz 2;146252400037800002;14.24608;51.43865;OSD
97;280;Filiale Lauta;2991;Lauta;Mittelstraße 18;146253100011100018;14.09632;51.45838;OSD
98;271;Filiale Bernsdorf;2994;Bernsdorf;Ernst-Thälmann-Straße 45;146250300006300045;14.06744;51.37114;OSD
99;288;Filiale Wittichenau;2997;Wittichenau;Markt 18;146256400005500018;14.24431;51.38476;OSD
100;281;Filiale Lohsa;2999;Lohsa;Ziegelteich 28;146253300011400028;14.40610;51.38591;OSD
